name,establishment,city,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating
Citrus Cafe - Lemon Tree Shimona,Fine Dining,Chennai,"Lemon Tree Shimona, Ramapuram",13.02013289,80.18487588,"Continental, North Indian, European, American",1700,"Dinner, Cash, Lunch, Credit Card, Valet Parking Available, Indoor Seating, Table booking recommended, Wheelchair Accessible, Buffet, Fullbar, 4/5 Star, Air Conditioned, Luxury Dining",3.6
Drunken Monkey,Beverage Shop,Chennai,Alwarpet,13.0397315,80.2578903,"Beverages, Fast Food",400,"Takeaway Available, Credit Card, Cash, Delivery, Debit Card, No Alcohol Available, Air Conditioned, Free Parking, Indoor Seating",4
Bombay Brasserie,Casual Dining,Chennai,Anna Nagar West,13.08058276,80.19675907,"North Indian, Modern Indian",1500,"Dinner, Cash, Delivery, Credit Card, Lunch, Mall Parking, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned, Table booking recommended, Wifi",4
Westfield Waffles,Dessert Parlour,Chennai,Nungambakkam,13.06478379,80.2369808,"Desserts, Ice Cream, Belgian",350,"Cash, Takeaway Available, Credit Card, Delivery, Debit Card, Outdoor Seating, Digital Payments Accepted, Desserts and Bakes, Indoor Seating, Air Conditioned, Pure Veg, Table booking recommended",4.1
Tempteys,Dessert Parlour,Chennai,Navallur,12.84990789,80.2268387,"Beverages, Desserts",350,"Cash, Debit Card, Delivery, Credit Card, No Alcohol Available, Takeaway Available, Indoor Seating, Desserts and Bakes, Air Conditioned, Pure Veg, Digital Payments Accepted",4.1
Sri Velan Chettinadu Mess,Quick Bites,Coimbatore,Peelamedu,11.022669,77.018041,South Indian,300,"Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Breakfast, Lunch, Indoor Seating",4.1
Pizza Paradise,Quick Bites,Coimbatore,RS Puram,11.00944204,76.94427487,Fast Food,300,"Cash, Delivery, Takeaway Available, No Alcohol Available, Indoor Seating, Pure Veg, Air Conditioned",4.1
Ponnusamy Hotels,Casual Dining,Chennai,Saidapet,13.01360621,80.22322074,"Chettinad, South Indian, Chinese",600,"Lunch, Cash, Takeaway Available, Debit Card, Dinner, Delivery, Credit Card, Sodexo, Table booking recommended, Indoor Seating, Air Conditioned",2.5
Couuntry Kitchen Restaurant,Casual Dining,Coimbatore,Ganapathy,11.04628639,76.98718317,"South Indian, Mediterranean",500,"Cash, Credit Card, Takeaway Available, Dinner, No Alcohol Available, Lunch, Delivery, Debit Card, Valet Parking Available, Free Parking, Table booking recommended, Table Reservation Not Required, Indoor Seating, Axis Bank - Dining Delights",2.5
Samudra - Eldoris,Fine Dining,Chennai,Eldoris,12.97328429,80.26491199,"Seafood, North Indian, Arabian",1400,"Serves Alcohol, Takeaway Available, Debit Card, Dinner, Cash, Delivery, Credit Card, Free Parking, City View, Outdoor Seating, Poolside, Rooftop, Air Conditioned, Axis Bank - Dining Delights, Smoking Area, Live Sports Screening, Valet Parking Available, Beer, Indoor Seating, Table reservation required, Kid Friendly",3.7
Valar Chicken,Quick Bites,Coimbatore,RS Puram,11.00676047,76.95537318,"Chinese, South Indian",300,"Cash, Takeaway Available, Lunch, No Alcohol Available, Dinner, Indoor Seating",3.7
Cha Republic,Beverage Shop,Chennai,"Phoenix Market City, Velachery",12.99155239,80.21648303,Beverages,250,"Cash, Delivery, Credit Card, Lunch, Mall Parking, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned, Digital Payments Accepted, Wheelchair Accessible",3.9
McDonald's,Food Court,Coimbatore,"Brookefields Mall, RS Puram",11.00822,76.96009,"Burger, Fast Food",500,"Dinner, Mall Parking, Takeaway Available, Debit Card, Lunch, Cash, Credit Card, Indoor Seating, Air Conditioned",3.9
Bubble CafÃƒÂ© - The Gateway Hotel,Fine Dining,Kochi,"The Gateway Hotel, Marine Drive",9.976203074,76.27748575,"Seafood, Continental, Mediterranean, Kerala, South Indian",2000,"Cash, Serves Alcohol, Dinner, Indoor Seating, Fullbar, Air Conditioned, Nightlife",4
Meat and Eat,Quick Bites,Madurai,Sathamangalam,9.923110106,78.13871518,"Fast Food, Burger",500,"No Alcohol Available, Dinner, Cash, Credit Card, Lunch, Takeaway Available, Debit Card, Free Parking, Indoor Seating, Air Conditioned",4
